GEOID,DAC_NAME,DAC_NAMELSAD,Pop16,HH16,MHI16,DAC16,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
683724,Waukena,Waukena CDP,175,51,0,Data Not Available,0.942346499,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.942346499,1
680644,Tulare,Tulare city,61664,18540,47196,Y,20.45116291,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,20.21699767,0.988550028
646223,Matheny,Matheny CDP,1001,278,30776,Y,0.428406532,76,5-022,5-022.11,SAN JOAQUIN VALLEY,Mid-Kaweah GSA,162.6848518,0.427381997,0.997608497
616224,Corcoran,Corcoran city,22917,3826,35531,Y,7.504429399,69,5-022,5-022.12,SAN JOAQUIN VALLEY,El Rico GSA,357.4651309,7.493798271,0.998583353
632156,Hardwick,Hardwick CDP,154,41,0,Data Not Available,0.138750326,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,0.138750326,1
602700,Armona,Armona CDP,3655,1026,44038,Y,1.904224488,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,1.904224488,1
634281,Home Garden,Home Garden CDP,1778,426,33125,Y,0.444437073,70,5-022,5-022.12,SAN JOAQUIN VALLEY,Mid-Kings River GSA,152.1242494,0.444437073,1
641152,Lemoore,Lemoore city,25169,8476,50871,Y,8.516598538,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,8.516598538,1
675252,Stratford,Stratford CDP,1041,290,24167,Y,0.682895698,71,5-022,5-022.12,SAN JOAQUIN VALLEY,South Fork Kings GSA,111.4220526,0.682895698,1
601164,Alpaugh,Alpaugh CDP,1124,254,38750,Y,1.005051981,97,5-022,5-022.13,SAN JOAQUIN VALLEY,Alpaugh GSA,22.66085546,1.005051981,1
662496,Rodriguez Camp,Rodriguez Camp CDP,111,24,0,Data Not Available,0.263363798,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.263363798,1
660606,Richgrove,Richgrove CDP,3096,662,30116,Y,0.451993081,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,0.324588121,0.718126305
620438,Earlimart,Earlimart CDP,8677,1978,23561,Y,2.10486371,96,5-022,5-022.13,SAN JOAQUIN VALLEY,Delano-Earlimart Irrigation District GSA,101.2257184,2.104853691,0.99999524
658191,Poplar-Cotton Center,Poplar-Cotton Center CDP,3009,728,21890,Y,1.28335922,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.170354393,0.132741006
660606,Richgrove,Richgrove CDP,3096,662,30116,Y,0.451993081,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.122983688,0.27209197
621012,East Porterville,East Porterville CDP,6460,1540,32715,Y,2.998356998,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,2.86823771,0.956603137
658240,Porterville,Porterville city,58472,16799,39763,Y,18.61675504,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,18.22476456,0.97894421
620032,Ducor,Ducor CDP,741,185,30288,Y,0.610243671,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,0.610243671,1
678288,Terra Bella,Terra Bella CDP,3201,724,32700,Y,2.720768781,98,5-022,5-022.13,SAN JOAQUIN VALLEY,Eastern Tule GSA,251.3395795,2.720768781,1
